nohup: ignoring input
--faucet-sol argument ignored, ledger already exists
Ledger location: test-ledger
Log: test-ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: A8dbc5Q2ygioFjaqQxhoZWUZvtrexucLJFj2sHcdFHkC
Genesis Hash: DdWgBiQBSEyMwRw8bwoCYHFuYVmLSJxCfMRfefoSeSrc
Version: 1.18.20
Shred Version: 35959
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:21 | Processed Slot: 2466 | Confirmed Slot: 2466 | Finalized Slot: 2434 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2691 | ◎499.988290000
00:00:21 | Processed Slot: 2467 | Confirmed Slot: 2467 | Finalized Slot: 2435 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2692 | ◎499.988285000
00:00:22 | Processed Slot: 2468 | Confirmed Slot: 2468 | Finalized Slot: 2436 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2693 | ◎499.988280000
00:00:22 | Processed Slot: 2468 | Confirmed Slot: 2468 | Finalized Slot: 2436 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2693 | ◎499.988280000
00:00:22 | Processed Slot: 2469 | Confirmed Slot: 2469 | Finalized Slot: 2437 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2694 | ◎499.988275000
00:00:22 | Processed Slot: 2469 | Confirmed Slot: 2469 | Finalized Slot: 2437 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2694 | ◎499.988275000
00:00:23 | Processed Slot: 2470 | Confirmed Slot: 2470 | Finalized Slot: 2438 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2695 | ◎499.988270000
00:00:23 | Processed Slot: 2471 | Confirmed Slot: 2471 | Finalized Slot: 2439 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2696 | ◎499.988265000
00:00:23 | Processed Slot: 2471 | Confirmed Slot: 2471 | Finalized Slot: 2439 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2696 | ◎499.988265000
00:00:23 | Processed Slot: 2472 | Confirmed Slot: 2472 | Finalized Slot: 2440 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2697 | ◎499.988260000
00:00:24 | Processed Slot: 2472 | Confirmed Slot: 2472 | Finalized Slot: 2440 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2697 | ◎499.988260000
00:00:24 | Processed Slot: 2473 | Confirmed Slot: 2473 | Finalized Slot: 2441 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2698 | ◎499.988255000
00:00:24 | Processed Slot: 2474 | Confirmed Slot: 2474 | Finalized Slot: 2442 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2699 | ◎499.988250000
00:00:24 | Processed Slot: 2474 | Confirmed Slot: 2474 | Finalized Slot: 2442 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2699 | ◎499.988250000
00:00:25 | Processed Slot: 2475 | Confirmed Slot: 2475 | Finalized Slot: 2443 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2700 | ◎499.988245000
00:00:25 | Processed Slot: 2476 | Confirmed Slot: 2476 | Finalized Slot: 2444 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2701 | ◎499.988240000
00:00:25 | Processed Slot: 2476 | Confirmed Slot: 2476 | Finalized Slot: 2444 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2701 | ◎499.988240000
00:00:25 | Processed Slot: 2477 | Confirmed Slot: 2477 | Finalized Slot: 2445 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2702 | ◎499.988235000
00:00:26 | Processed Slot: 2477 | Confirmed Slot: 2477 | Finalized Slot: 2445 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2702 | ◎499.988235000
00:00:26 | Processed Slot: 2478 | Confirmed Slot: 2478 | Finalized Slot: 2446 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2703 | ◎499.988230000
00:00:26 | Processed Slot: 2479 | Confirmed Slot: 2479 | Finalized Slot: 2447 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2704 | ◎499.988225000
00:00:26 | Processed Slot: 2479 | Confirmed Slot: 2479 | Finalized Slot: 2447 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2704 | ◎499.988225000
00:00:27 | Processed Slot: 2480 | Confirmed Slot: 2480 | Finalized Slot: 2448 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2705 | ◎499.988220000
00:00:27 | Processed Slot: 2481 | Confirmed Slot: 2481 | Finalized Slot: 2449 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2706 | ◎499.988215000
00:00:27 | Processed Slot: 2481 | Confirmed Slot: 2481 | Finalized Slot: 2449 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2706 | ◎499.988215000
00:00:27 | Processed Slot: 2482 | Confirmed Slot: 2482 | Finalized Slot: 2450 | Full Snapshot Slot: 2402 | Incremental Snapshot Slot: - | Transactions: 2707 | ◎499.988210000
